Chemical,RefractiveIndex,ET30,Density,logP,Solubility
K46_2-Pentanone,1.3908,41.1,0.8089,0.91,-0.328
+48_Morpholine,1.4542,41,1.0005,-0.86,1.06
K50_3-Methyl2-butano,1.388,40.9,0.8051,0.56,-0.164
K61_3.3-Dimethyl-2-b,1.3952,39,0.8012,0.85,-0.706
K63_2.4-Dimethyl-3-p,1.3999,38.7,0.8108,1.49,-1.299
K68_2.6-Dimethyl4-he,1.4122,38,0.8053,2.96,-1.731
T69_dietylenglycolDi,1.4115,37.5,0.9063,1,0.076
C72_Diethylcarbonate,1.3837,37,0.9752,1.21,-0.798
H74_1.1-Dichlorethen,1.4247,37,1.218,1.86,-1.666
T82_t-Butyl-methylet,1.369,35.5,0.7405,0.94,1
+84_Diethylamine,1.3846,35.4,0.7056,0.58,1
T88_di-n-propylether,1.3805,34,0.736,2.03,-1.388
D90-p-Xylene,1.4958,33.1,0.8611,3.15,-2.806
+95_Tri_n-butylamine,1.4291,32.1,0.7771,4.56,-3.116
D96_cis-decalin,1.481,31.2,0.8965,5.08,-5.192
D97_n-Heptane,1.3876,31.1,0.68376,4.57,-4.046
D99_n-Pentane,1.3575,31,0.6262,3.39,-3.129
